Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:20OhESUJTdSwvNfczkpmwy,Morning Sex,Morning Sex,Golden Mile Band,2018-08-03,220461,41,true,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,,Kribo Records,0.573,0.648,7,-10.954,1,0.0318,0.0549,0.82,0.302,0.828,131.475,4
spotify:track:3zdHFPFOfIGxoIKfd927xp,เกินคำว่ารัก,Fan,Clash,2007-12-18,253773,56,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,phleng phuea chiwit,luk thung,southern thai music",GMM Music Public Company Limited,0.476,0.705,11,-6.26,1,0.0285,0.125,0,0.153,0.46,155.989,4
spotify:track:0EknYQYdlj0d9kB2KVSYWP,เช่นนั้นเอง,เช่นนั้นเอง,Rootsman Creation,2025-09-27,338602,19,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,,Jahdub Stido,0.785,0.582,9,-8.114,0,0.0427,0.45,0.691,0.0633,0.349,122.064,4
spotify:track:6ECuUSXzcYP0xX8jQkfY2A,This Place Is Death,Diamond Eyes,Deftones,2010-04-30,228933,59,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"nu metal,alternative metal,rap metal,shoegaze,rock",Reprise,0.364,0.878,11,-6.626,0,0.0737,0.0000315,0.452,0.183,0.0895,136.037,4
spotify:track:4AL8A0VMt0RktnDjZQ6y9Y,บางครั้งแค่บางครั้ง,How to Disappoint your parents,electric.neon.lamp,2018-08-17,223063,31,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,thai indie pop,thai rock",BEC-TERO ENTERTAINMENT PUBLIC COMPANY LIMITED,0.381,0.445,9,-11.316,1,0.0388,0.478,0.00000518,0.118,0.258,150.207,4
spotify:track:1oAwsWBovWRIp7qLMGPIet,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,290146,89,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,dream pop,Partisan Records,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,4
spotify:track:3RjuZJMDziXGJtEsGumA67,รุ้งสีเทา,Another Side Of Human,Monomania,2014-10-09,268973,28,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"post-rock,thai indie pop",MonoMania,0.386,0.356,4,-10.293,1,0.0259,0.569,0.0689,0.255,0.116,138.312,4
spotify:track:7m4pcdD43wr8MfOc8Ei77o,Shambhala,Shambhala,VEGA(เวก้า),2022-03-08,301649,21,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai indie rock",Minimal records,0.478,0.568,2,-10.93,1,0.0319,0.00964,0.2,0.364,0.661,82.974,4
spotify:track:4DIrFbLFtW3R8tya01qthi,คืออิสระเสรีที่คุณไม่มีวันเข้าใจ,ENDURO,SRIRAJAH ROCKERS,2024-12-06,269642,23,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,,Srirajah Records,0.721,0.891,6,-4.547,0,0.126,0.334,0.00000157,0.115,0.851,134.137,4
spotify:track:7uh0h6a1jp4GdeqRBQlNKc,เหม่อ - Hmer,Death Of A Salesman (อวสานเซลส์แมน),Death Of A Salesman,2002-02-14,205148,28,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop",Death of A Salesman,0.567,0.892,0,-5.247,1,0.0447,0.0000793,0.0011,0.149,0.499,143.012,4
spotify:track:1mmMHi0zYDitcRTkH7QFdY,Easy Living,Rootsman Creation,Rootsman Creation,2019-10-30,254235,19,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,,Jahdub Stido,0.7,0.577,6,-7.847,0,0.0385,0.011,0.0443,0.111,0.686,144.099,4
spotify:track:4r9dWMRXk29WaWqZWl9pXQ,ระบำกลางสายฝน - Wet,am i moon,View From The Bus Tour,2023-08-20,242500,27,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,thai indie pop,View From The Bus Tour,0.57,0.419,6,-13.385,1,0.0299,0.839,0.746,0.106,0.461,136.003,4
spotify:track:0b4TKuvZ4eJ8eHgJgXaCnN,Two-Way Mirror,I Let It in and It Took Everything,Loathe,2020-02-07,300186,63,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,shoegaze,SHARPTONE,0.32,0.84,2,-6.703,1,0.0447,0.0000786,0.761,0.135,0.173,160.104,4
spotify:track:03plYDY5V0hYQ6MvHxJeUc,Somros Lae Para,Somros Lae Para,Apartment Khunpa,2008-08-08,202570,34,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop","Here Co., Ltd.",0.563,0.287,7,-7.926,1,0.0424,0.337,0,0.198,0.286,165.33,3
spotify:track:5Bpc360LNUScK53FrM8nvB,Hole in the Earth,Saturday Night Wrist,Deftones,2006-10-25,249320,68,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"nu metal,alternative metal,rap metal,shoegaze,rock",Maverick,0.139,0.937,6,-3.944,0,0.206,0.0000539,0.0572,0.349,0.304,205.784,3
spotify:track:1o2jjiTtiVJEtQyYzcRHnm,Zero - Remastered 2012,Mellon Collie And The Infinite Sadness (Remastered),The Smashing Pumpkins,1995-12-12,160173,49,true,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"alternative rock,rock",Virgin Records,0.438,0.728,8,-7.105,1,0.0458,0.0000349,0.57,0.0509,0.701,128.04,4
spotify:track:0ERVYAsalWtX2SYJHtodzv,พื้นที่ส่วนกลาง,ตรี,ปลานิลเต็มบ้าน,2025-05-20,284210,24,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,thai rock",Parinam Music,0.658,0.525,8,-10.618,1,0.0331,0.853,0.0000599,0.145,0.357,94.936,4
spotify:track:4gHm2mJ5WC9nPomTXuwg3c,เลือกเองกับมือ (Bad Choices),เลือกเองกับมือ (Bad Choices),Season Five,2025-10-30,228500,68,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,t-pop,thai rock",LOVEiS Entertainment,0.527,0.712,6,-8.954,1,0.104,0.0168,0,0.14,0.651,155.847,4
